,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pre,param_rf__bootstrap,param_rf__class_weight,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,mean_train_score,std_train_score
0,0.2061206272670201,0.004090524625477545,0.011416571480887277,0.007230502154770059,Identity(),True,balanced,2,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9166666666666666,0.9066666666666666,0.9266666666666666,0.9033333333333333,0.93,0.8766666666666667,0.9033333333333333,0.909047619047619,0.016591667990651753,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.31489471026829313,0.003598505789491462,0.012550898960658483,0.005533076101757546,Identity(),True,balanced,2,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.9133333333333333,0.9133333333333333,0.9233333333333333,0.9066666666666666,0.9233333333333333,0.8766666666666667,0.9066666666666666,0.909047619047619,0.01466171839841966,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.415438175201416,0.007554400739041185,0.019169160297938755,0.0055797219074941815,Identity(),True,balanced,2,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9166666666666666,0.9166666666666666,0.9233333333333333,0.9033333333333333,0.93,0.8766666666666667,0.91,0.910952380952381,0.01610622335741691,91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.20441436767578125,0.00017546149639031003,0.004477977752685547,0.007080364125862852,Identity(),True,balanced,3,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 3, 'rf__n_estimators': 100}",0.9133333333333333,0.9033333333333333,0.9366666666666666,0.9133333333333333,0.9333333333333333,0.8866666666666667,0.9133333333333333,0.9142857142857144,0.015807802545426495,56,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9994444444444445,1.0,1.0,1.0,0.9996825396825396,0.0002749286996140955
4,0.30672383308410645,0.0066816947243393265,0.010435887745448522,0.006687687996454536,Identity(),True,balanced,3,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 3, 'rf__n_estimators': 150}",0.91,0.9133333333333333,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.89,0.92,0.9166666666666666,0.013801311186847087,18,1.0,0.9988888888888889,0.9994444444444445,0.9988888888888889,1.0,1.0,1.0,0.9996031746031747,0.0004892392065848181
5,0.40536253792898996,0.0056916164249780025,0.01620657103402274,0.001702455690943692,Identity(),True,balanced,3,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 3, 'rf__n_estimators': 200}",0.9166666666666666,0.91,0.9366666666666666,0.9166666666666666,0.93,0.88,0.9166666666666666,0.9152380952380952,0.01670064563500017,37,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9994444444444445,1.0,1.0,1.0,0.9996825396825396,0.0002749286996140955
6,0.20492543492998397,0.001502450557678664,0.008219582693917411,0.007306980485880074,Identity(),True,balanced,4,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.9166666666666666,0.9033333333333333,0.93,0.9166666666666666,0.9266666666666666,0.8866666666666667,0.91,0.9128571428571428,0.0136193806153096,78,0.9972222222222222,0.9966666666666667,0.9988888888888889,0.9972222222222222,0.9977777777777778,0.9988888888888889,0.9972222222222222,0.9976984126984126,0.0008093681767607709
7,0.30535285813467844,0.007697530061781261,0.013421126774379186,0.005479328933103241,Identity(),True,balanced,4,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 4, 'rf__n_estimators': 150}",0.9133333333333333,0.9066666666666666,0.9266666666666666,0.9133333333333333,0.9266666666666666,0.89,0.9066666666666666,0.9119047619047619,0.011799534946060819,86,0.9983333333333333,0.9983333333333333,0.9977777777777778,0.9977777777777778,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9981746031746032,0.00025097441747366995
8,0.4042607716151646,0.005785647909127627,0.015766620635986328,0.0001465831971224548,Identity(),True,balanced,4,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 4, 'rf__n_estimators': 200}",0.91,0.91,0.93,0.9166666666666666,0.9233333333333333,0.8833333333333333,0.9066666666666666,0.9114285714285713,0.013784871262981092,90,0.9977777777777778,0.9988888888888889,0.9977777777777778,0.9988888888888889,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9983333333333332,0.0004199605255658317
9,0.20077766690935409,0.005258621858643249,0.010333129337855749,0.0063622857372586765,Identity(),True,balanced,5,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9066666666666666,0.9066666666666666,0.94,0.9133333333333333,0.9266666666666666,0.8833333333333333,0.9066666666666666,0.9119047619047619,0.016509462688914015,86,0.9938888888888889,0.9927777777777778,0.9933333333333333,0.9933333333333333,0.9955555555555555,0.995,0.9944444444444445,0.994047619047619,0.0009255479198167204
10,0.3077951839991978,0.007334330410031622,0.010090419224330358,0.00615560799470657,Identity(),True,balanced,5,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 5, 'rf__n_estimators': 150}",0.9133333333333333,0.9066666666666666,0.94,0.91,0.9233333333333333,0.8833333333333333,0.9133333333333333,0.9128571428571428,0.01587936381003149,78,0.9938888888888889,0.9933333333333333,0.9938888888888889,0.9933333333333333,0.9961111111111111,0.995,0.9944444444444445,0.9942857142857143,0.0009255479198167066
11,0.4065875666482108,0.005072625159166471,0.015491724014282227,0.000602861651488065,Identity(),True,balanced,5,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': 'balanced', 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9133333333333333,0.9066666666666666,0.9366666666666666,0.9166666666666666,0.9266666666666666,0.8866666666666667,0.91,0.9138095238095237,0.014630753805463996,62,0.9944444444444445,0.9927777777777778,0.9944444444444445,0.9938888888888889,0.9961111111111111,0.995,0.9944444444444445,0.9944444444444445,0.0009390602830316723
12,0.20225889342171804,0.005478928972521315,0.008932386125837053,0.007735708794250976,Identity(),True,,2,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9166666666666666,0.9066666666666666,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.88,0.91,0.9138095238095237,0.016849339059956323,62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.3093723569597517,0.007533769669664117,0.007941756929670061,0.007014185417619859,Identity(),True,,2,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 150}",0.9133333333333333,0.9066666666666666,0.9366666666666666,0.9033333333333333,0.9266666666666666,0.8866666666666667,0.9133333333333333,0.9123809523809523,0.014982983545287864,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.4050643103463309,0.005768618373120916,0.01728292873927525,0.004262755784416652,Identity(),True,,2,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9166666666666666,0.91,0.93,0.9066666666666666,0.93,0.8833333333333333,0.9166666666666666,0.9133333333333333,0.014800257398019122,69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.20209247725350515,0.005696930414799371,0.008710214069911413,0.007559889008044413,Identity(),True,,3,100,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 3, 'rf__n_estimators': 100}",0.9133333333333333,0.9066666666666666,0.93,0.92,0.9233333333333333,0.89,0.9033333333333333,0.9123809523809524,0.012562767579307558,82,0.9988888888888889,0.9994444444444445,0.9994444444444445,0.9994444444444445,1.0,1.0,1.0,0.9996031746031745,0.00038880789567985257
16,0.30508157185145784,0.00802988424482807,0.013398000172206334,0.005469717601251757,Identity(),True,,3,150,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 3, 'rf__n_estimators': 150}",0.92,0.9066666666666666,0.9333333333333333,0.9133333333333333,0.9233333333333333,0.8866666666666667,0.91,0.9133333333333332,0.013685817012571343,76,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9988888888888889,1.0,1.0,1.0,0.9996031746031747,0.0003888078956798526
17,0.40596587317330496,0.005509000528314629,0.01794545991080148,0.0054344963844465966,Identity(),True,,3,200,"{'pre': Identity(), 'rf__bootstrap': True, 'rf__class_weight': None, 'rf__min_samples_split': 3, 'rf__n_estimators': 200}",0.9133333333333333,0.91,0.93,0.91,0.93,0.8866666666666667,0.91,0.9128571428571429,0.013619380615309613,77,0.9988888888888889,0.9994444444444445,1.0,0.9994444444444445,1.0,1.0,1.0,0.9996825396825396,0.0004046840883803621
